variable,cluster
Abs_Lat,1
CHELSA_BIO_Annual_Mean_Temperature,1
CHELSA_BIO_Isothermality,1
CHELSA_BIO_Mean_Temperature_of_Coldest_Quarter,1
CHELSA_BIO_Mean_Temperature_of_Driest_Quarter,1
CHELSA_BIO_Min_Temperature_of_Coldest_Month,1
CHELSA_BIO_Temperature_Annual_Range,1
CHELSA_BIO_Temperature_Seasonality,1
SG_Silt_Content_015cm,1
CGIAR_Aridity_Index,2
CHELSA_BIO_Mean_Diurnal_Range,2
EarthEnvCloudCover_Mean,2
SG_Soil_pH_H2O_015cm,2
CGIAR_PET,3
CHELSA_BIO_Max_Temperature_of_Warmest_Month,3
CHELSA_BIO_Mean_Temperature_of_Warmest_Quarter,3
CHELSA_BIO_Mean_Temperature_of_Wettest_Quarter,3
SG_Clay_Content_015cm,3
CHELSA_BIO_Annual_Precipitation,4
CHELSA_BIO_Precipitation_of_Coldest_Quarter,4
CHELSA_BIO_Precipitation_of_Warmest_Quarter,4
CHELSA_BIO_Precipitation_of_Wettest_Month,4
CHELSA_BIO_Precipitation_of_Wettest_Quarter,4
FanEtAl_Depth_to_Water_Table_AnnualSD,4
CHELSA_BIO_Precipitation_Seasonality,5
CHELSA_BIO_Precipitation_of_Driest_Month,5
CHELSA_BIO_Precipitation_of_Driest_Quarter,5
EarthEnvCloudCover_CloudForestPrediction,5
CIFOR_TropicalPeatlandDepth,6
CIFOR_TropicalPeatlandExtent,6
GiriEtAl_MangrovesExtent,6
CMS_HeterotrophicRespiration_usingEquationFromBondLamberty2004,7
CMS_HeterotrophicRespiration_usingEquationFromSubke2006,7
CMS_SoilRespiration_mean,7
ConsensusLandCoverClass_Shrubs,7
MODIS_EVI,7
MODIS_FPAR,7
MODIS_GPP,7
MODIS_LAI,7
MODIS_NDVI,7
MODIS_NPP,7
CSP_Global_Human_Modification,8
ConsensusLandCoverClass_Cultivated_and_Managed_Vegetation,8
ConsensusLandCover_Human_Development_Percentage,8
WCS_Human_Footprint_2009,8
ConsensusLandCoverClass_Barren,9
MODIS_Nadir_Reflectance_Band1,9
MODIS_Nadir_Reflectance_Band2,9
MODIS_Nadir_Reflectance_Band3,9
MODIS_Nadir_Reflectance_Band4,9
ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,10
EsaCci_BurntAreasProbability,10
ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,11
IPCC_Global_Biomass,11
NASA_ForestCanopyHeight,11
SpawnEtAl_HarmonizedAGBiomass,11
SpawnEtAl_HarmonizedBGBiomass,11
UNEP_WCMC_Biomass,11
ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,12
MODIS_Nadir_Reflectance_Band5,12
MODIS_Nadir_Reflectance_Band6,12
MODIS_Nadir_Reflectance_Band7,12
ConsensusLandCoverClass_Herbaceous_Vegetation,13
ConsensusLandCoverClass_Mixed_Other_Trees,13
CrowtherLab_Tree_Density,13
ConsensusLandCoverClass_Open_Water,14
ConsensusLandCoverClass_Regularly_Flooded_Vegetation,14
TootchiEtAl_WetlandsRegularlyFlooded,14
ConsensusLandCoverClass_Snow_Ice,15
EarthEnvTopoMed_Elevation,15
EarthEnvTopoMed_Roughness,15
EarthEnvTopoMed_Slope,15
EarthEnvTopoMed_TerrainRuggednessIndex,15
EarthEnvTopoMed_VectorRuggednessMeasure,15
FanEtAl_Depth_to_Water_Table_AnnualMean,15
SG_Coarse_fragments_015cm,15
SG_Depth_to_bedrock,15
ConsensusLandCoverClass_Urban_Builtup,16
GoshEtAl_GlobalGDP2006,16
EarthEnvTexture_CoOfVar_EVI,17
EarthEnvTexture_Contrast_EVI,17
EarthEnvTexture_Correlation_EVI,17
EarthEnvTexture_Dissimilarity_EVI,17
EarthEnvTexture_Range_EVI,17
EarthEnvTexture_Std_EVI,17
EarthEnvTexture_Variance_EVI,17
EarthEnvTexture_Entropy_EVI,18
EarthEnvTexture_Evenness_EVI,18
EarthEnvTexture_Homogeneity_EVI,18
EarthEnvTexture_Maximum_EVI,18
EarthEnvTexture_Shannon_Index,18
EarthEnvTexture_Simpson_Index,18
EarthEnvTexture_Uniformity_EVI,18
EarthEnvTopoMed_1stOrderPartialDerivEW,19
EarthEnvTopoMed_AspectSine,19
EarthEnvTopoMed_Eastness,19
EarthEnvTopoMed_1stOrderPartialDerivNS,20
EarthEnvTopoMed_AspectCosine,20
EarthEnvTopoMed_Northness,20
EarthEnvTopoMed_2ndOrderPartialDerivEW,21
EarthEnvTopoMed_2ndOrderPartialDerivNS,21
EarthEnvTopoMed_ProfileCurvature,21
EarthEnvTopoMed_TangentialCurvature,21
EarthEnvTopoMed_TopoPositionIndex,21
GHS_Population_Density,22
GLW3_RuminantsDistribution_downsampled10km,22
GPWv4_Population_Density,22
PelletierEtAl_SoilAndSedimentaryDepositThicknesses,23
SG_Absolute_depth_to_bedrock,23
SG_Bulk_density_015cm,24
SG_CEC_015cm,24
SG_H2O_Capacity_015cm,24
SG_SOC_Content_015cm,24
SG_SOC_Density_015cm,24
SG_SOC_Stock_005cm_to_015cm,24
SG_Saturated_H2O_Content_015cm,24
SG_Soil_H2O_Capacity_pF_20_015cm,24
