variable,cluster
Abs_Lat,1
CHELSA_BIO_Isothermality,1
CGIAR_Aridity_Index,2
CGIAR_PET,3
CHELSA_BIO_Annual_Mean_Temperature,4
CHELSA_BIO_Mean_Temperature_of_Coldest_Quarter,4
CHELSA_BIO_Min_Temperature_of_Coldest_Month,4
CHELSA_BIO_Annual_Precipitation,5
CHELSA_BIO_Max_Temperature_of_Warmest_Month,6
CHELSA_BIO_Mean_Temperature_of_Warmest_Quarter,6
CHELSA_BIO_Mean_Diurnal_Range,7
CHELSA_BIO_Mean_Temperature_of_Driest_Quarter,8
CHELSA_BIO_Mean_Temperature_of_Wettest_Quarter,9
CHELSA_BIO_Precipitation_Seasonality,10
CHELSA_BIO_Precipitation_of_Coldest_Quarter,11
CHELSA_BIO_Precipitation_of_Driest_Month,12
CHELSA_BIO_Precipitation_of_Driest_Quarter,12
CHELSA_BIO_Precipitation_of_Warmest_Quarter,13
CHELSA_BIO_Precipitation_of_Wettest_Month,14
CHELSA_BIO_Precipitation_of_Wettest_Quarter,14
CHELSA_BIO_Temperature_Annual_Range,15
CHELSA_BIO_Temperature_Seasonality,15
CIFOR_TropicalPeatlandDepth,16
CIFOR_TropicalPeatlandExtent,17
CMS_HeterotrophicRespiration_usingEquationFromBondLamberty2004,18
CMS_HeterotrophicRespiration_usingEquationFromSubke2006,18
CMS_SoilRespiration_mean,18
CSP_Global_Human_Modification,19
ConsensusLandCoverClass_Barren,20
ConsensusLandCoverClass_Cultivated_and_Managed_Vegetation,21
ConsensusLandCover_Human_Development_Percentage,21
ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,22
ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,23
ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,24
ConsensusLandCoverClass_Herbaceous_Vegetation,25
ConsensusLandCoverClass_Mixed_Other_Trees,26
ConsensusLandCoverClass_Open_Water,27
ConsensusLandCoverClass_Regularly_Flooded_Vegetation,28
ConsensusLandCoverClass_Shrubs,29
ConsensusLandCoverClass_Snow_Ice,30
ConsensusLandCoverClass_Urban_Builtup,31
CrowtherLab_Tree_Density,32
EarthEnvCloudCover_CloudForestPrediction,33
EarthEnvCloudCover_Mean,34
EarthEnvTexture_CoOfVar_EVI,35
EarthEnvTexture_Contrast_EVI,36
EarthEnvTexture_Variance_EVI,36
EarthEnvTexture_Correlation_EVI,37
EarthEnvTexture_Dissimilarity_EVI,38
EarthEnvTexture_Range_EVI,38
EarthEnvTexture_Std_EVI,38
EarthEnvTexture_Entropy_EVI,39
EarthEnvTexture_Maximum_EVI,39
EarthEnvTexture_Uniformity_EVI,39
EarthEnvTexture_Evenness_EVI,40
EarthEnvTexture_Homogeneity_EVI,41
EarthEnvTexture_Shannon_Index,42
EarthEnvTexture_Simpson_Index,42
EarthEnvTopoMed_1stOrderPartialDerivEW,43
EarthEnvTopoMed_1stOrderPartialDerivNS,44
EarthEnvTopoMed_2ndOrderPartialDerivEW,45
EarthEnvTopoMed_2ndOrderPartialDerivNS,46
EarthEnvTopoMed_AspectCosine,47
EarthEnvTopoMed_AspectSine,48
EarthEnvTopoMed_Eastness,49
EarthEnvTopoMed_Elevation,50
EarthEnvTopoMed_Northness,51
EarthEnvTopoMed_ProfileCurvature,52
EarthEnvTopoMed_Roughness,53
EarthEnvTopoMed_Slope,53
EarthEnvTopoMed_TerrainRuggednessIndex,53
EarthEnvTopoMed_TangentialCurvature,54
EarthEnvTopoMed_TopoPositionIndex,55
EarthEnvTopoMed_VectorRuggednessMeasure,56
EsaCci_BurntAreasProbability,57
FanEtAl_Depth_to_Water_Table_AnnualMean,58
FanEtAl_Depth_to_Water_Table_AnnualSD,59
GHS_Population_Density,60
GLW3_RuminantsDistribution_downsampled10km,61
GPWv4_Population_Density,62
GiriEtAl_MangrovesExtent,63
GoshEtAl_GlobalGDP2006,64
IPCC_Global_Biomass,65
MODIS_EVI,66
MODIS_FPAR,66
MODIS_NDVI,66
MODIS_GPP,67
MODIS_NPP,67
MODIS_LAI,68
MODIS_Nadir_Reflectance_Band1,69
MODIS_Nadir_Reflectance_Band3,69
MODIS_Nadir_Reflectance_Band4,69
MODIS_Nadir_Reflectance_Band2,70
MODIS_Nadir_Reflectance_Band5,71
MODIS_Nadir_Reflectance_Band6,72
MODIS_Nadir_Reflectance_Band7,72
NASA_ForestCanopyHeight,73
PelletierEtAl_SoilAndSedimentaryDepositThicknesses,74
SG_Absolute_depth_to_bedrock,75
SG_Bulk_density_015cm,76
SG_Saturated_H2O_Content_015cm,76
SG_CEC_015cm,77
SG_Clay_Content_015cm,78
SG_Coarse_fragments_015cm,79
SG_Depth_to_bedrock,80
SG_H2O_Capacity_015cm,81
SG_SOC_Content_015cm,82
SG_SOC_Density_015cm,83
SG_SOC_Stock_005cm_to_015cm,84
SG_Silt_Content_015cm,85
SG_Soil_H2O_Capacity_pF_20_015cm,86
SG_Soil_pH_H2O_015cm,87
SpawnEtAl_HarmonizedAGBiomass,88
UNEP_WCMC_Biomass,88
SpawnEtAl_HarmonizedBGBiomass,89
TootchiEtAl_WetlandsRegularlyFlooded,90
WCS_Human_Footprint_2009,91
