variable,cluster
Abs_Lat,1
CHELSA_BIO_Annual_Mean_Temperature,1
CHELSA_BIO_Isothermality,1
CHELSA_BIO_Mean_Temperature_of_Coldest_Quarter,1
CHELSA_BIO_Mean_Temperature_of_Driest_Quarter,1
CHELSA_BIO_Min_Temperature_of_Coldest_Month,1
CHELSA_BIO_Temperature_Annual_Range,1
CHELSA_BIO_Temperature_Seasonality,1
SG_Silt_Content_015cm,1
CGIAR_Aridity_Index,2
CHELSA_BIO_Mean_Diurnal_Range,2
EarthEnvCloudCover_Mean,2
SG_Soil_pH_H2O_015cm,2
CGIAR_PET,3
CHELSA_BIO_Max_Temperature_of_Warmest_Month,3
CHELSA_BIO_Mean_Temperature_of_Warmest_Quarter,3
CHELSA_BIO_Mean_Temperature_of_Wettest_Quarter,3
CHELSA_BIO_Annual_Precipitation,4
CHELSA_BIO_Precipitation_of_Coldest_Quarter,4
CHELSA_BIO_Precipitation_of_Wettest_Month,4
CHELSA_BIO_Precipitation_of_Wettest_Quarter,4
CHELSA_BIO_Precipitation_Seasonality,5
CHELSA_BIO_Precipitation_of_Driest_Month,6
CHELSA_BIO_Precipitation_of_Driest_Quarter,6
CHELSA_BIO_Precipitation_of_Warmest_Quarter,7
CIFOR_TropicalPeatlandDepth,8
CIFOR_TropicalPeatlandExtent,8
CMS_HeterotrophicRespiration_usingEquationFromBondLamberty2004,9
CMS_HeterotrophicRespiration_usingEquationFromSubke2006,9
CMS_SoilRespiration_mean,9
CSP_Global_Human_Modification,10
ConsensusLandCoverClass_Cultivated_and_Managed_Vegetation,10
ConsensusLandCover_Human_Development_Percentage,10
WCS_Human_Footprint_2009,10
ConsensusLandCoverClass_Barren,11
ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,12
ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,13
IPCC_Global_Biomass,13
NASA_ForestCanopyHeight,13
SpawnEtAl_HarmonizedAGBiomass,13
SpawnEtAl_HarmonizedBGBiomass,13
UNEP_WCMC_Biomass,13
ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,14
ConsensusLandCoverClass_Herbaceous_Vegetation,15
ConsensusLandCoverClass_Mixed_Other_Trees,16
CrowtherLab_Tree_Density,16
ConsensusLandCoverClass_Open_Water,17
ConsensusLandCoverClass_Regularly_Flooded_Vegetation,18
ConsensusLandCoverClass_Shrubs,19
ConsensusLandCoverClass_Snow_Ice,20
ConsensusLandCoverClass_Urban_Builtup,21
EarthEnvCloudCover_CloudForestPrediction,22
EarthEnvTexture_CoOfVar_EVI,23
EarthEnvTexture_Contrast_EVI,23
EarthEnvTexture_Dissimilarity_EVI,23
EarthEnvTexture_Range_EVI,23
EarthEnvTexture_Std_EVI,23
EarthEnvTexture_Variance_EVI,23
EarthEnvTexture_Correlation_EVI,24
EarthEnvTexture_Entropy_EVI,25
EarthEnvTexture_Evenness_EVI,25
EarthEnvTexture_Homogeneity_EVI,25
EarthEnvTexture_Maximum_EVI,25
EarthEnvTexture_Shannon_Index,25
EarthEnvTexture_Simpson_Index,25
EarthEnvTexture_Uniformity_EVI,25
EarthEnvTopoMed_1stOrderPartialDerivEW,26
EarthEnvTopoMed_1stOrderPartialDerivNS,27
EarthEnvTopoMed_2ndOrderPartialDerivEW,28
EarthEnvTopoMed_ProfileCurvature,28
EarthEnvTopoMed_2ndOrderPartialDerivNS,29
EarthEnvTopoMed_TangentialCurvature,29
EarthEnvTopoMed_TopoPositionIndex,29
EarthEnvTopoMed_AspectCosine,30
EarthEnvTopoMed_Northness,30
EarthEnvTopoMed_AspectSine,31
EarthEnvTopoMed_Eastness,31
EarthEnvTopoMed_Elevation,32
SG_Coarse_fragments_015cm,32
EarthEnvTopoMed_Roughness,33
EarthEnvTopoMed_Slope,33
EarthEnvTopoMed_TerrainRuggednessIndex,33
EarthEnvTopoMed_VectorRuggednessMeasure,33
EsaCci_BurntAreasProbability,34
FanEtAl_Depth_to_Water_Table_AnnualMean,35
FanEtAl_Depth_to_Water_Table_AnnualSD,36
GHS_Population_Density,37
GLW3_RuminantsDistribution_downsampled10km,38
GPWv4_Population_Density,39
GiriEtAl_MangrovesExtent,40
GoshEtAl_GlobalGDP2006,41
MODIS_EVI,42
MODIS_FPAR,42
MODIS_GPP,42
MODIS_LAI,42
MODIS_NDVI,42
MODIS_NPP,42
MODIS_Nadir_Reflectance_Band1,43
MODIS_Nadir_Reflectance_Band2,43
MODIS_Nadir_Reflectance_Band3,43
MODIS_Nadir_Reflectance_Band4,43
MODIS_Nadir_Reflectance_Band5,44
MODIS_Nadir_Reflectance_Band6,44
MODIS_Nadir_Reflectance_Band7,44
PelletierEtAl_SoilAndSedimentaryDepositThicknesses,45
SG_Absolute_depth_to_bedrock,46
SG_Bulk_density_015cm,47
SG_Saturated_H2O_Content_015cm,47
SG_Soil_H2O_Capacity_pF_20_015cm,47
SG_CEC_015cm,48
SG_H2O_Capacity_015cm,48
SG_SOC_Content_015cm,48
SG_SOC_Density_015cm,48
SG_SOC_Stock_005cm_to_015cm,48
SG_Clay_Content_015cm,49
SG_Depth_to_bedrock,50
TootchiEtAl_WetlandsRegularlyFlooded,51
