,Abs_Lat,CGIAR_Aridity_Index,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Isothermality,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Mean_Diurnal_Range,CHELSA_BIO_Mean_Temperature_of_Coldest_Quarter,CHELSA_BIO_Mean_Temperature_of_Driest_Quarter,CHELSA_BIO_Mean_Temperature_of_Warmest_Quarter,CHELSA_BIO_Mean_Temperature_of_Wettest_Quarter,CHELSA_BIO_Min_Temperature_of_Coldest_Month,CHELSA_BIO_Precipitation_Seasonality,CHELSA_BIO_Precipitation_of_Coldest_Quarter,CHELSA_BIO_Precipitation_of_Driest_Month,CHELSA_BIO_Precipitation_of_Driest_Quarter,CHELSA_BIO_Precipitation_of_Warmest_Quarter,CHELSA_BIO_Precipitation_of_Wettest_Month,CHELSA_BIO_Precipitation_of_Wettest_Quarter,CHELSA_BIO_Temperature_Annual_Range,CHELSA_BIO_Temperature_Seasonality,CIFOR_TropicalPeatlandDepth,CIFOR_TropicalPeatlandExtent,CMS_HeterotrophicRespiration_usingEquationFromBondLamberty2004,CMS_HeterotrophicRespiration_usingEquationFromSubke2006,CMS_SoilRespiration_mean,CSP_Global_Human_Modification,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Cultivated_and_Managed_Vegetation,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Open_Water,ConsensusLandCoverClass_Regularly_Flooded_Vegetation,ConsensusLandCoverClass_Shrubs,ConsensusLandCoverClass_Snow_Ice,ConsensusLandCoverClass_Urban_Builtup,ConsensusLandCover_Human_Development_Percentage,CrowtherLab_Tree_Density,EarthEnvCloudCover_CloudForestPrediction,EarthEnvCloudCover_Mean,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Contrast_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Dissimilarity_EVI,EarthEnvTexture_Entropy_EVI,EarthEnvTexture_Evenness_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTexture_Maximum_EVI,EarthEnvTexture_Range_EVI,EarthEnvTexture_Shannon_Index,EarthEnvTexture_Simpson_Index,EarthEnvTexture_Std_EVI,EarthEnvTexture_Uniformity_EVI,EarthEnvTexture_Variance_EVI,EarthEnvTopoMed_1stOrderPartialDerivEW,EarthEnvTopoMed_1stOrderPartialDerivNS,EarthEnvTopoMed_2ndOrderPartialDerivEW,EarthEnvTopoMed_2ndOrderPartialDerivNS,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Eastness,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Northness,EarthEnvTopoMed_ProfileCurvature,EarthEnvTopoMed_Roughness,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TangentialCurvature,EarthEnvTopoMed_TerrainRuggednessIndex,EarthEnvTopoMed_TopoPositionIndex,EarthEnvTopoMed_VectorRuggednessMeasure,EsaCci_BurntAreasProbability,FanEtAl_Depth_to_Water_Table_AnnualMean,FanEtAl_Depth_to_Water_Table_AnnualSD,GHS_Population_Density,GPWv4_Population_Density,GiriEtAl_MangrovesExtent,IPCC_Global_Biomass,MODIS_EVI,MODIS_FPAR,MODIS_GPP,MODIS_LAI,MODIS_NDVI,MODIS_NPP,MODIS_Nadir_Reflectance_Band1,MODIS_Nadir_Reflectance_Band2,MODIS_Nadir_Reflectance_Band3,MODIS_Nadir_Reflectance_Band4,MODIS_Nadir_Reflectance_Band5,MODIS_Nadir_Reflectance_Band6,MODIS_Nadir_Reflectance_Band7,NASA_ForestCanopyHeight,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,Resolve_Biome,Resolve_Ecoregion,SG_Absolute_depth_to_bedrock,SG_Bulk_density_015cm,SG_CEC_015cm,SG_Clay_Content_015cm,SG_Coarse_fragments_015cm,SG_Depth_to_bedrock,SG_H2O_Capacity_015cm,SG_SOC_Content_015cm,SG_SOC_Density_015cm,SG_SOC_Stock_005cm_to_015cm,SG_Saturated_H2O_Content_015cm,SG_Silt_Content_015cm,SG_Soil_H2O_Capacity_pF_20_015cm,SG_Soil_pH_H2O_015cm,SpawnEtAl_HarmonizedAGBiomass,SpawnEtAl_HarmonizedBGBiomass,TootchiEtAl_WetlandsRegularlyFlooded,UNEP_WCMC_Biomass,WCS_Human_Footprint_2009,WWF_Biome,WWF_Ecoregion,NAME_3,NAME_0
0,6.6676136051635195,8156.176672649974,1543.3735558181497,260.09446590160536,1244.984465962662,524.7063726386742,319.8632955103742,55.57220547068074,243.17572719626313,262.1812862758427,276.20777542227245,258.2116140145396,213.84422740681114,57.87145452900979,251.9009720253496,10.631868209663994,44.88696896368338,273.93977420220466,202.36406713077415,578.9104104315853,106.01906827135979,1125.581717903454,0,0,710.5807241468274,713.3256362740218,1520.8949265853303,0.5992207319020386,0,82.68503589984007,0.048251247503387676,15.137688570492768,0,0.018628260045854175,1.5147380403439707,0.058545960144113125,0.05361214043966064,0.1833701536821419,0,0.37699086769720824,83.06202676753729,6097.119919345976,1.1357569742613229e-05,7478.51572624927,317.77282674313307,77562.20984066633,1087.1158580639776,20362.976421864863,25793.475042707312,9117.49487110737,3967.274170578828,1513.7277689116365,751.6118883701215,17490.07490639711,7937.171192144418,207.393674017892,897.7307817045676,47478.561338794294,-0.001650197217575816,-0.0009305054114657719,9.246246872347237e-06,9.05531120799973e-06,-0.038615929689169416,-0.06893213176897607,-0.04496695075976207,173.38381320202174,-0.036072713571450955,-3.8437824257966486e-07,22.455135234504944,1.7832296429525456,1.4288769865246573e-05,7.471502244141388,0.2203338135231294,0.0003327810877848634,0.021149496971923344,33.17422663829817,0.22141408950912078,5.046337830529591,90.32118254951922,0,10507.358630901559,4624.978486140085,51.59664110253981,21802.75811235302,21.260366550188902,6480.9953453681865,7406.106666404062,550.3922817042246,3255.800890465814,343.2692791596616,657.3817477889158,3421.597775996279,2254.1577920677587,1029.9738223348304,19.593392289803315,4.492143297519121,1,11,13348.317806600959,1284.759400102276,8.386083878088934,20.601297396987455,20.181137267155293,199.99085070558615,16.90852044158796,16.473351110017067,261.32375992890843,24.421402513858748,45.474359283291925,20.22510056730821,16.418248249019275,54.531290481907114,27.87986035026314,7.061416832052912,0.0053254589281361816,43.62535607072557,8.37649629216709,1,30111,Abengourou,Côte d'Ivoire
0,5.4224732821775765,10977.901597023945,1516.734579288823,260.37548999533914,1767.587516388099,519.8616342909145,298.1095442737645,36.34510821736828,244.7017650973539,263.81704777793146,273.49083141582787,259.48544222541045,228.27518701552796,82.29415030760204,256.08162179446884,24.859243554937184,117.41718287711295,401.99344285528866,491.08087964614623,1245.9416431847865,69.8343573178986,1011.8650375783096,0.5293347915012229,0.11166649814349346,671.0114121069838,674.9963140177617,1404.2110230182611,0.6474945925382362,0.7550067434967653,53.9804963536661,0.08432197572341162,21.027335793834737,0.011613351315991371,1.008678516915274,0.9646576161133226,5.022491782625197,2.6093827479547413,0.8924287087213196,0,13.70129782027571,67.68179417394181,10356.087329457656,1.1540602938126448e-05,7979.065325504955,695.9873623889347,181294.06545559794,1759.8758212135126,30427.544504805675,26892.807282853668,9335.383406520385,3101.5183390079005,1267.6479229035508,1176.5241808416627,19667.90214286203,8351.490905852452,333.58697156323416,784.0034389921424,125185.28194255102,1.8927825019178924e-05,-0.0009222907814023629,1.3959493247772004e-06,1.4547727255024943e-06,-0.07040298842172578,-0.019263598493718653,-0.01503609100480127,44.14633872543873,-0.05409220131204896,-4.186852796343294e-06,18.184429387109013,1.3336085444092962,5.1151031639148685e-06,6.066094344346363,-0.08413198678759194,0.000222911552048587,0.011058862352493532,13.57801530365324,0.26664464774500346,141.4954350788367,2938.1439786177216,0.0004375521022815512,8077.985481584091,3479.6160491670776,40.78030387123318,20554.231406956544,16.01165796265394,4896.7694423171715,7604.900900470235,732.1255148308996,2895.342190359738,468.0964640465757,788.0466144015269,2997.6721422544556,2211.4408130685033,1234.5329938474597,12.042163921168498,16.72778309524022,1,11,11786.759698773654,1282.7058704267188,8.451667139084487,22.837795479321912,14.789242767975146,199.99924923474936,17.189500686779084,25.671869688952977,273.6220871271007,29.626973875858813,45.57034134040894,16.698231454014678,15.255193465495566,52.0418900868379,22.499076096566096,7.3173491820465175,0.3457827523862399,57.86583125653312,16.830112231113254,1,30111,Abidjan,Côte d'Ivoire
0,5.48125200563848,11276.115121006344,1496.4820454655844,259.00090230612324,1756.0472531329367,566.5833603338031,302.6234893577811,44.70384329499575,243.7676129949709,262.03894100612666,271.97879277606387,257.7229616419624,223.75392191556185,64.16802687700036,321.98352299631387,30.907682353901375,122.69433487139493,297.47430693175744,387.5175640319497,1013.9227676457213,78.86956731429355,983.616978078425,0.12309154529864783,0.03278758459716277,619.5310672453621,624.2261287509889,1257.7939058156057,0.5100765000982483,0.01821308885416102,51.97224753801894,0.015298994637495256,41.70047396885349,0.00022284249892149955,0.05391074300831662,0.6847750004999674,2.3097939278276005,2.3412232910408752,0.8159463806664137,0,0.12894866908746003,52.1011962071064,19074.388226898584,1.3015204178989215e-05,8059.402933521516,380.75908270304086,96530.80582956738,1240.4582325455165,23054.265085723735,26385.922158373567,9211.251619488135,3590.810348794675,1376.362892187519,865.1046413527006,18349.132202149878,8123.246790522605,238.0614048543346,827.1099806487393,59815.59668845654,0.000868006164980154,-0.002777793151669618,2.3057984434299335e-07,3.445008774498554e-07,-0.13576300650305984,0.041438582955805686,0.029310389317832163,61.21982412584313,-0.07697054365801036,-1.4763433187285554e-05,21.502638398048138,1.4857237326499586,8.476931225196872e-06,7.224136699588317,-0.3142381000677099,0.00027417053893518653,0.0016154481694685744,17.11305782733846,0.21520955172346315,7.315459054369913,115.90148310104509,0,10779.868877181994,4245.975230121702,49.59773755816171,22793.006886543833,23.27445361050363,5866.4264120659145,8254.741466552212,502.705508110259,3241.5148298483105,340.5542677501441,636.4486156165041,3255.9364411579277,2055.522623917077,886.8854358412291,18.233294654638144,9.552751207082732,1,11,10471.53470959827,1361.3135704974557,6.753294663174607,22.4418417353965,17.99729729311768,199.9844754469776,16.750450987743427,21.68913009761139,282.877343849446,29.533497706319288,42.927649802899104,17.200752745253045,14.042414909371283,49.50749362249772,25.39368118730492,6.781356781856285,0.1631070072600349,41.56415119275086,9.701986049087697,1,30111,Aboisso,Côte d'Ivoire
0,5.225076228060155,11875.848250925665,1465.091183114782,260.66518571516946,1985.9513086283512,533.3407842791726,299.01392334156725,37.963686420180814,245.17780435309413,264.2010462583429,273.5066475167629,259.63733378362724,227.87404778286088,75.59883218720292,318.6257975510057,35.79886747810652,143.79193676894,398.2312900083075,507.6000577982119,1309.8933895933335,71.13987541132983,998.1837744691209,1.0694576747320452,0.23007669413538706,640.4449190804664,645.2264419783927,1314.954339561903,0.5473529003930655,0.36838755866677253,36.24160103942936,0.7053999946967887,35.59344920849571,0.08056903455042028,0.46118049478959494,3.5400525017898334,9.802408983639596,8.188283880889875,4.726844854559434,0,0.30191843661336937,36.54351947604273,20004.891303942255,6.102241561195828e-06,7224.355083127837,671.3163590117362,192987.72097606692,1793.0841824212762,31502.63204866948,26798.212244715836,9339.769065433076,3031.028953279091,1255.0219994347678,1196.733760728257,19738.567344449566,8358.95011825254,343.37192283092116,785.148812268515,126641.6798182332,0.00047264759499462353,-0.00025210533322190913,-9.235570769321596e-07,-1.4140346555137513e-06,-0.0575748811474957,0.052139294642023,0.05365941230376513,32.351752048365285,-0.011236325104826344,-7.20574828302513e-06,15.22281109962081,1.1564932906055294,5.609223333815534e-06,4.874107154694668,-0.1258853876647309,0.00020029127350684332,0.06787356696923084,9.507358666099265,0.17058376084398394,8.910424752569506,149.54824178323094,0.00920587503084812,10161.805008658781,3666.005670445421,43.41986147049955,19212.547823416447,17.105583295804415,5452.528578606196,7402.096359587768,584.4690752260797,2872.135535413976,396.98685721722893,683.749406372496,2899.9177736442116,1985.830231270028,980.9684412683657,11.066534061061002,28.222977320250916,5.59134781109962,47.024421287089325,8815.686717811972,1144.9521882848155,9.056085451517955,23.395693638076104,8.795573377040757,199.99705232628276,17.554746535684597,32.10976173463441,305.25288655308856,33.23439142092236,49.90757294741506,14.9794907308221,16.795975636598882,51.37793934855738,18.107352247301478,6.238724273921984,0.5094117456899753,36.86410974222156,10.338327187303042,5.59134781109962,30567.309336303126,Adiake,Côte d'Ivoire
0,6.070095384471245,8933.835782718537,1544.7046846241592,258.7949625662788,1380.110661659776,543.4205627364521,309.18089088082803,49.12441949323852,243.10509381560513,260.77307285228403,272.851062382251,257.5319529674989,218.7232969802671,58.16832255383441,257.79449590562444,18.243356980645306,72.4580652406019,269.79957057331967,253.29350443389518,695.7040715896843,90.45759409494916,1025.1934486602684,0,0,807.4277476667078,807.1646252198111,1805.9556842261043,0.43137662842908153,0,61.55586872694953,0.008030484348428546,36.47150315270867,0,0.05799794251642839,0.7946365462268973,0.02141462492914279,0.35951376204572655,0.026768281161428487,0,0.7490657345006405,62.304934461450166,14310.75295116649,8.794263407153183e-06,7558.371451015798,323.44915251271925,86563.11015585091,958.1622700202248,21453.802721266966,26101.259158951114,9158.870931396219,3820.9480450406973,1432.8819588783217,791.5216140748671,17784.358175347992,8008.298378856906,217.7111562497814,857.5112566745744,54927.10385393266,0.00014379339216868319,-0.0017945723265633308,7.28114307525817e-06,7.250578206903352e-06,-0.11171628322508252,0.007633332953434186,0.0043191787682880815,107.3007722561637,-0.08008525738605854,8.224736688408767e-07,19.2477019518101,1.3704799536202423,1.029033829308451e-05,6.592648542090937,0.11035573820970938,0.00023394734322012924,0.00044228878475903823,29.545232849645398,0.31759907369297014,6.250699442600572,99.97284655051644,0,11002.617478595153,4903.829312109508,59.01737928696064,23715.07527063133,30.328631916131815,6638.5738773759085,7962.0654375038575,463.2953774611713,3482.3175443658247,312.3007492174937,616.9976061811327,3443.7562247598526,2135.415616819309,870.2227202626348,20.70497244412695,1.2279485349177357,1,11,12311.266288965184,1329.7981845223844,7.581420755607099,21.282546545124013,29.724004759478884,199.9998884654952,16.818324226300366,17.40974724483216,235.10748491106162,23.304266479682372,43.99181043760588,19.326470755124546,15.308403681121321,52.37157382577858,33.49898578459857,9.725729646129327,0.016934705267275883,53.830597758894655,7.643154515469132,1,30111,Adzope,Côte d'Ivoire
0,21.877976159930018,6072.933559955743,1770.0751704127333,188.89969233180224,1013.7547989682449,519.3577240423157,256.0931306168063,77.16786255378716,150.3473881689673,159.45318973744605,216.10019948045627,215.90805190163059,107.51828061668293,90.26120037100807,61.27264352146275,16.4658129922632,51.341535459106204,605.9705336588335,215.95018091231978,635.7649214379591,148.57484970563505,2484.557083933341,0,0,509.63284490468754,513.2944417048949,962.2278589429721,0.25380359791818496,0,1.9896025242620674,0.9652345903431998,7.550648559252118,0,48.83970961690656,29.701972596160665,0.12493819095412508,0.0019946731253623006,10.812377430886832,0,0,1.9896025242620674,21508.02070707193,3.2765581708718516e-05,4710.453952099442,646.6415240520354,67686.8942326378,2498.2689991613242,19204.407082965594,25916.6399809926,9200.437567105333,4078.115664893977,1475.2532702852595,767.7087607683274,17911.777240971,8025.764438097167,218.4504222753218,886.6259888654383,50654.482456576436,-0.006495071836532227,0.0006463164830967133,-3.5931622410853006e-05,-2.187532536775042e-05,0.012545439833012368,-0.08034916239790933,-0.01593661076206245,1032.3769880564912,0.007719570133094738,-8.06864384677768e-05,78.33909249473574,6.703261398735057,3.056790628242026e-05,24.870034216067634,-1.2897858211662572,0.003471864212120559,0.22878774317926187,43.42025990715433,0.9978553063972989,2.980341545639305,46.59459014378044,0,1878.1477584584832,2396.313377072019,36.580931560567834,13435.177394680097,9.724743604902129,4207.8295274550555,8424.790620937029,1136.1963168278091,2631.017031745371,472.04127788824803,860.1892937638809,3370.367590979463,3094.9181506766286,2098.309786618472,4.302435097404459,2.0114974508206567,1.114044951798627,18.811301340239595,3859.3372777511054,1273.5256159057196,10.1214036752151,24.39624981221824,6.790819937247859,182.41106661092516,17.096253556598544,18.142849636777107,215.53780116411875,22.313747032105432,46.40322340936758,15.173162121220386,15.813655529899991,60.785805945917765,15.646715711630515,8.202510664669962,0.056377359848424353,27.655919548529006,9.520229323966225,1.114044951798627,30129.3034369057,Ambalavao,Madagascar
0,5.908841940203226,8793.108222695399,1556.3097511213628,259.7241551779687,1410.1628338825738,542.7455497554146,307.03003765308114,46.07147576998669,244.1827473474599,261.80150049273794,273.5033609961715,258.66263711160616,222.08411963356846,60.65832634041832,242.92955504615108,18.676827863571138,76.2219538406538,281.63806443421083,280.23057486075527,757.0214674584232,84.94591779820786,1017.4469523577691,0.004479016604826496,0.0009751956423168049,783.0677013360752,783.9033466848316,1732.336607733373,0.4594029339442084,0,65.6321914659174,0.0021832210472782945,32.417456693028,0,0.02052227784441597,0.9122610550180267,0.006767985246562713,0.2999865582076698,0.010040248322130414,0,0.7681359316232294,66.40032739754062,13567.798012255738,9.246593360736363e-06,7727.033469206737,322.0914358659555,83728.72295952309,989.1424093685016,21428.38351659548,26162.52003297949,9164.169132850287,3792.351584205125,1432.5374816245567,792.4332084188429,17880.315912085545,8026.845877436539,215.953643795928,853.2162955618967,50962.3187263003,0.0008227149184639283,-0.000756171750809874,2.675135147651968e-06,5.174193745022552e-06,-0.039306111687564614,0.03806411862118997,0.024314824646658753,78.49596617805328,-0.028801336600923794,-3.9973149388030105e-06,18.835090612235117,1.3415653168520087,8.33594411529157e-06,6.486649228723656,-0.03904562418289745,0.00021706076106576638,0.00666692518472225,25.014851319973108,0.2792136600543513,4.577929107513334,75.24348767616434,0,11621.446958168084,4803.395545940693,57.11552598114056,23513.44150177173,28.282931703083367,6510.949208160184,8124.012711077494,457.31426743115264,3462.2555387829702,290.7243016896553,606.5649822692961,3434.69725913792,2188.0257632524726,885.8280170846823,20.65308655617727,2.682015994876709,1,11,12296.1263620082,1344.3171161043158,6.985304947843801,21.731251947252105,28.235276445003606,199.99968607098347,16.5792448018742,18.157064725224537,256.03491541591046,24.97448261287367,43.567522513100954,18.403954138094125,14.986641347343339,52.748814961784035,32.45052806609251,9.800442422035799,0.0953348160149696,49.365059866372874,7.6826028605944305,1,30111,Agboville,Côte d'Ivoire
0,29.11252157320113,8948.744492006517,1547.084726284732,162.6994730106455,1573.94078088222,362.65409105402654,275.0321402598255,100.21833707329164,75.63866640437762,107.54226988130482,227.42585770022245,225.1470689242632,-1.3394562784941366,101.94459673443015,113.48923015932492,8.200917135231435,55.56783227859764,991.5026406119229,407.9855019116435,1155.6441874549064,276.3715964618608,5753.237805338235,0.006158221411069947,0.006397249714835247,384.62040041243137,383.8743099623817,654.751300870683,0.47910295294201877,0,42.180648706751285,4.331882853286648,9.063382752190835,5.43434216006318,2.8782460827533995,30.58775375480203,0,0,5.568305340450938,0,0,42.180648706751285,22013.040592254187,0,3718.4973792855567,638.2907169853055,146753.7798893649,2255.623674737627,28631.141395882547,27653.903471647387,9365.4608327184,3063.8816176712016,1161.563464838532,1109.4557658309984,20197.43069579838,8451.034327643745,315.4338358169492,704.3318240967479,102948.51637320072,-0.012812917547289271,-0.037555606379639936,-1.3035754541349448e-06,-1.0572652009138998e-05,-0.07341513990343118,-0.0264217321320207,-0.0012229591997533215,1390.0012269747808,-0.003266049787124695,-4.590797155198127e-05,238.16360758235845,20.617675991671867,2.7223042977108624e-05,74.76045326349373,-0.4130424827057039,0.017026883010228224,0.3501988001631736,104.59472960448203,3.440141844585033,9.231703933782313,124.70206623560166,0,4304.705367479824,3314.885583220737,55.061706577453165,11500.589584821091,18.86612452256344,5965.091474349011,7324.1157779253035,586.5838341551453,2492.775872728469,291.9631395112416,587.3566364455518,2746.5733779122174,2004.6537471766635,1111.0648159445923,15.008081507804675,0.8542388522428581,2.8152314229969617,287.6460696195856,2596.0853127807945,1250.5353131643956,18.47786441924698,29.258089424413832,25.873213641200717,128.08036753959254,24.451362971606194,31.45313562409793,305.03619075038006,33.22758246932534,47.91958994338193,34.72784475694408,16.122569099605023,60.03445506705957,54.595041450549516,16.748578126411356,0.058167506131458796,68.82065165630068,12.87202171364849,2.819638163408845,40286.3201056235,Achham,Nepal
0,23.017628410316714,10613.619357100815,1674.0880073130713,256.43014986517386,1588.1556357841075,342.3937047726716,345.8566763850269,80.8307393692873,182.7670720854904,182.7670720854904,294.8918090485547,287.2825939959444,109.7815021171099,88.11090610685244,23.781681825263856,5.462415336707196,23.781681825263856,393.621981514323,320.4075884455567,937.2863927306864,236.07517616263084,4009.952516884795,1.944055475272501,0.547239038767785,333.6867423625351,330.4296493745232,539.8899492510061,0.6911295200501272,0.2003330954080418,81.82931990933788,2.016967829996118,1.1405261905656359,4.753321562292598,0.07015039382896926,2.6003856894198374,1.7056738920820966,3.767021050127102,1.4726824198254373,0,0.4377574915160849,82.26707740085395,4082.598669619256,1.25679332706697e-07,5029.247241944976,756.6206143989378,151036.16483095725,2138.8056870828177,28973.852373233913,27144.770972394177,9362.906066136586,3091.8064528480086,1263.2580756320747,1153.0801373272238,19997.996464717355,8408.766288463748,325.01762536214306,764.369685908644,106326.28016795777,0.00022740976970237885,8.113627852370644e-05,-1.4547326169039302e-06,-1.3287241434722683e-07,0.003398977134983202,0.05053674014099192,0.01187870289551414,5.962376497990156,0.004559540817965562,-6.593450628810907e-07,4.182551310467459,0.28276507840100135,4.913185831212495e-07,1.3786573187071882,-0.010834992549181658,1.157044556127367e-05,0.006896642032985097,1.5520371884994488,1.023587728084243,71.64657042647035,1249.2238243872384,0,617.4972454638399,3031.6538140707644,39.39903902788049,11189.87491714926,10.535517844046439,5312.598220718766,4280.049464540531,577.2251337926208,2249.939127899189,373.5347230870338,669.2994729398682,2051.0796155893854,1390.9855586469116,710.4085820906697,8.02065401908706,49.907184091563686,1,250.65667380442534,5388.52176043914,1256.6361709958335,26.452039918828238,31.140635074647165,9.989911719052937,200,26.681045627310965,26.26654383953394,164.2359394136684,25.263903541081987,48.17433285998314,38.79343711033979,15.144464796740714,61.08808564035707,14.904067946860868,4.695287975516003,0.8926018289298182,19.878141478824187,19.054522442916507,1,40132.081370449676,Abhaynagar,Bangladesh
0,8.09915220355896,16039.445520847665,1612.277115728636,247.49653396196987,2742.5631940890744,454.9369605926726,319.7557136986038,57.424968174600636,232.3173091045908,248.31562083790112,267.51286774878486,234.9501839151272,193.52728913457975,71.116852641706,1273.8315472807697,9.594653175155054,51.1430078570774,171.23447859388642,450.49318914847817,1340.3917350486633,126.2284242576724,1167.348663223411,0,0,565.5022065515017,570.1846466841355,1108.8256454205305,0.2476033635221158,0,56.779166093298464,0,37.45339204623641,0,0,5.6179441310031635,0,0.07018026696023116,0.12247144626393283,0,0,56.779166093298464,15248.845638174253,6.322967737833522e-06,6672.656694647034,299.845741021054,61662.01406357507,1283.6249621576987,18457.104307141875,25572.81656804732,9086.111903123705,4192.3459199119325,1571.7167744598864,687.2522636576299,17135.754561717353,7867.51980184395,189.2361634787395,924.9753405807068,37691.65441034814,0.0057751378357575505,-0.004185577608228512,-1.989468086913951e-05,-1.0948823763508496e-05,-0.03514166243185122,0.1256467593945301,0.0167505553050216,225.2140085317187,-0.014821675816180217,-6.261151347729148e-05,50.521838447777604,4.052746260392545,3.2867828227743606e-05,16.312991949910547,-1.1216767579468827,0.0020280915561469554,0.09035593549801295,17.738085772164933,2.334651294242032,5.572646770422176,105.83606532023235,0,10000,4662.006990169063,64.45108292803927,20045.406765816362,33.253246800286306,6927.997895586424,5374.47746943858,494.02500792692706,3083.1361173315586,326.0577821294034,623.9578414024602,3208.9539793544436,2013.267074853307,874.355717014508,19.952863337410616,1.2989128939039494,1,30,11860.13606051435,1280.5053660678188,10.736077324770266,26.679298568857853,23.74658395933352,199.7427680646928,19.44004244522885,24.32360299502669,256.237396650523,28.36241590894365,46.022471484584116,18.33396505416464,14.975850659380004,52.34377998781447,29.73150771133047,8.294292306237294,0.0019259208559014593,45.53022731310139,7.366248763042282,1,30130,Badjia,Sierra Leone
