HH7_region,country_orig,name_orig,country_matched,NAME_1_matched,NAME_2_matched,NAME_3_matched,NAME_4_matched,NAME_1_matched_fuzz,NAME_2_matched_fuzz,NAME_3_matched_fuzz,NAME_4_matched_fuzz,accepted,level,substituted in Name_1 with NA from:,Aggregate
Pabna,Bangladesh,Pabna,Bangladesh,NA,Pabna,NA,NA,NA,NA,NA,NA,1,,,
Panchagarh,Bangladesh,Panchagarh,Bangladesh,NA,Panchagarh,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Patuakhali,Bangladesh,Patuakhali,Bangladesh,NA,Patuakhali,NA,NA,NA,NA,NA,NA,1,,,
Pirojpur,Bangladesh,Pirojpur,Bangladesh,NA,Pirojpur,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Rajbari,Bangladesh,Rajbari,Bangladesh,NA,Rajbari,NA,NA,NA,NA,NA,NA,1,,,
Rajshahi,Bangladesh,Rajshahi,Bangladesh,NA,Rajshahi,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Rangamati,Bangladesh,Rangamati,Bangladesh,NA,Rangamati,NA,NA,NA,NA,NA,NA,1,,,
Rangpur,Bangladesh,Rangpur,Bangladesh,NA,Rangpur,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Satkhira,Bangladesh,Satkhira,Bangladesh,NA,Satkhira,NA,NA,NA,NA,NA,NA,1,,,
Shariatpur,Bangladesh,Shariatpur,Bangladesh,NA,Shariatpur,NA,NA,NA,NA,NA,NA,1,,,
Sherpur,Bangladesh,Sherpur,Bangladesh,NA,Sherpur,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Sirajganj,Bangladesh,Sirajganj,Bangladesh,NA,Sirajganj,NA,NA,NA,NA,NA,NA,1,,,
Sunamganj,Bangladesh,Sunamganj,Bangladesh,NA,Sunamganj,NA,NA,NA,NA,NA,NA,1,,,
Sylhet,Bangladesh,Sylhet,Bangladesh,NA,Sylhet,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Tangail,Bangladesh,Tangail,Bangladesh,NA,Tangail,NA,NA,NA,NA,NA,NA,1,,,
Thakurgaon,Bangladesh,Thakurgaon,Bangladesh,NA,Thakurgaon,NA,NA,NA,NA,NA,NA,1,,,
Banjul,Gambia,Banjul,Gambia,NA,Banjul,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Basse,Gambia,Basse,Gambia,NA,NA,NA,NA,Upper River,NA,NA,NA,1,1,Banjul,
Brikama,Gambia,Brikama,Gambia,NA,NA,NA,NA,Western,NA,NA,NA,1,1,North Bank,
Janjanbureh,Gambia,Janjanbureh,Gambia,NA,Janjanbureh,NA,NA,NA,NA,NA,NA,1,2,,
Kanifing,Gambia,Kanifing,Gambia,NA,Kanifing,NA,NA,NA,NA,NA,NA,1,2,,
Kerewan,Gambia,Kerewan,Gambia,NA,NA,NA,NA,North Bank,NA,NA,NA,1,1,Western,
Kuntaur,Gambia,Kuntaur,Gambia,NA,NA,NA,NA,MacCarthy Island,NA,NA,NA,0,1,Banjul,"Aggregate: Upper Saloum, Nianija, Lower Saloum, Niamina East, Niamina Dankunku, Niamina West"
Mansakonko,Gambia,Mansakonko,Gambia,NA,NA,NA,NA,Lower River,NA,NA,NA,1,1,Maccarthy Island,
ADJARA A R ,Georgia,Adjara A r ,Georgia,NA,NA,NA,NA,Ajaria,NA,NA,NA,1,1,Gagra,
GURIA,Georgia,Guria,Georgia,Guria,NA,NA,NA,NA,NA,NA,NA,1,,,
IMERETI,Georgia,Imereti,Georgia,Imereti,NA,NA,NA,NA,NA,NA,NA,1,,,
KHAKHETI,Georgia,Khakheti,Georgia,NA,NA,NA,NA,Kakheti,NA,NA,NA,1,1,,
KVEMO KARTLI,Georgia,Kvemo Kartli,Georgia,Kvemo Kartli,NA,NA,NA,NA,NA,NA,NA,1,,,
MTKHETA MTIANETI,Georgia,Mtkheta Mtianeti,Georgia,NA,NA,NA,NA,Mtskheta-Mtianeti,NA,NA,NA,1,1,,
SAMEGRELO ZEMO SVANETI,Georgia,Samegrelo-Zemo Svaneti,Georgia,Samegrelo-Zemo Svaneti,NA,NA,NA,NA,NA,NA,NA,1,,,
SAMTSKHE JAVAKHETI,Georgia,Samtskhe-Javakheti,Georgia,Samtskhe-Javakheti,NA,NA,NA,NA,NA,NA,NA,1,,,
SHIDA KARTLI,Georgia,Shida Kartli,Georgia,Shida Kartli,NA,NA,NA,NA,NA,NA,NA,1,,,
TBILISI,Georgia,Tbilisi,Georgia,Tbilisi,NA,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
ASHANTI,Ghana,Ashanti,Ghana,Ashanti,NA,NA,NA,NA,NA,NA,NA,1,,,
BRONG AHAFO,Ghana,Brong Ahafo,Ghana,Brong Ahafo,NA,NA,NA,NA,NA,NA,NA,1,,,
CENTRAL,Ghana,Central,Ghana,Central,NA,NA,NA,NA,NA,NA,NA,1,,,
EASTERN,Ghana,Eastern,Ghana,Eastern,NA,NA,NA,NA,NA,NA,NA,1,,,
GREATER ACCRA,Ghana,Greater Accra,Ghana,Greater Accra,NA,NA,NA,NA,NA,NA,NA,1,,,
NORTHERN,Ghana,Northern,Ghana,Northern,NA,NA,NA,NA,NA,NA,NA,1,,,
UPPER EAST,Ghana,Upper East,Ghana,Upper East,NA,NA,NA,NA,NA,NA,NA,1,,,
UPPER WEST,Ghana,Upper West,Ghana,Upper West,NA,NA,NA,NA,NA,NA,NA,1,,,
VOLTA,Ghana,Volta,Ghana,Volta,NA,NA,NA,NA,NA,NA,NA,1,,,
WESTERN,Ghana,Western,Ghana,Western,NA,NA,NA,NA,NA,NA,NA,1,,,
Biombo,Guinea-Bissau,Biombo,Guinea-Bissau,Biombo,NA,NA,NA,NA,NA,NA,NA,1,,,
Cacheu,Guinea-Bissau,Cacheu,Guinea-Bissau,Cacheu,NA,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Oio,Guinea-Bissau,Oio,Guinea-Bissau,Oio,NA,NA,NA,NA,NA,NA,NA,1,,,
Quinara,Guinea-Bissau,Quinara,Guinea-Bissau,Quinara,NA,NA,NA,NA,NA,NA,NA,1,,,
SAB,Guinea-Bissau,Sab,Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,0,,not found,
SAB,Guinea-Bissau,Sab,Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,0,2,(not found) Gabu ,
Tombali,Guinea-Bissau,Tombali,Guinea-Bissau,Tombali,NA,NA,NA,NA,NA,NA,NA,1,,,
ANBAR,Iraq,Anbar,Iraq,NA,NA,NA,NA,Al-Anbar,NA,NA,NA,1,1,,
BABIL,Iraq,Babil,Iraq,Babil,NA,NA,NA,NA,NA,NA,NA,1,,,
BAGHDAD,Iraq,Baghdad,Iraq,Baghdad,NA,NA,NA,NA,NA,NA,NA,1,,,
BASRAH,Iraq,Basrah,Iraq,NA,Basrah,NA,NA,NA,NA,NA,NA,1,,,
DIALA,Iraq,Diala,Iraq,NA,NA,NA,NA,Diyala,NA,NA,NA,1,1,,
DUHOK,Iraq,Duhok,Iraq,NA,NA,NA,NA,Dihok,NA,NA,NA,1,1,,
ERBIL,Iraq,Erbil,Iraq,NA,NA,NA,NA,Arbil,NA,NA,NA,1,1,,
KARBALAH,Iraq,Karbalah,Iraq,NA,NA,NA,NA,Karbala',NA,NA,NA,1,1,,
KIRKUK,Iraq,Kirkuk,Iraq,NA,Kirkuk,NA,NA,NA,NA,NA,NA,1,,,
MISAN,Iraq,Misan,Iraq,NA,NA,NA,NA,Maysan,NA,NA,NA,1,1,,
MUTHANA,Iraq,Muthana,Iraq,NA,NA,NA,NA,Al-Muthannia,NA,NA,NA,1,1,,
NAINAWA,Iraq,Nainawa,Iraq,NA,NA,NA,NA,Ninawa,NA,NA,NA,1,1,,
NAJAF,Iraq,Najaf,Iraq,NA,NA,NA,NA,An-Najaf,NA,NA,NA,1,,,
QADISYAH,Iraq,Qadisyah,Iraq,NA,NA,NA,NA,Al-Qadisiyah,NA,NA,NA,1,1,,
SALAHADDIN,Iraq,Salahaddin,Iraq,NA,NA,NA,NA,Sala ad-Din,NA,NA,NA,1,1,,
SULAIMANIYA,Iraq,Sulaimaniya,Iraq,NA,NA,NA,NA,As-Sulaymaniyah,NA,NA,NA,1,1,Sulaymaniya,
THIQAR,Iraq,Thiqar,Iraq,NA,NA,NA,NA,Dhi-Qar,NA,NA,NA,1,1,Pshdar,
WASIT,Iraq,Wasit,Iraq,Wasit,NA,NA,NA,NA,NA,NA,NA,1,,,
FERIZAJ,Kosovo,Ferizaj,Kosovo,NA,NA,NA,NA,NA,Uroševac,NA,NA,1,2,(available at both level 1 and 2) Prizren,
GJAKOVA,Kosovo,Gjakova,Kosovo,NA,NA,NA,NA,NA,Đakovica,NA,NA,1,2,(available at both level 1 and 2) Ðakovica,
GJILAN,Kosovo,Gjilan,Kosovo,NA,NA,NA,NA,NA,Gnjilane,NA,NA,1,2,(available at both level 1 and 2) Gnjilane,
MITROVICA,Kosovo,Mitrovica,Kosovo,NA,NA,NA,NA,NA,Kosovska Mitrovica,NA,NA,1,2,(available at both level 1 and 2) Ðakovica,
PEJA,Kosovo,Peja,Kosovo,NA,NA,NA,NA,NA,Peć,NA,NA,1,2,Pec ,
PRISHTINA,Kosovo,Prishtina,Kosovo,NA,NA,NA,NA,NA,Priština,NA,NA,1,2,(available at both level 1 and 2) Pristina,
