HH7_region,country_orig,name_orig,country_matched,NAME_1_matched,NAME_2_matched,NAME_3_matched,NAME_4_matched,NAME_1_matched_fuzz,NAME_2_matched_fuzz,NAME_3_matched_fuzz,NAME_4_matched_fuzz,accepted,level,substituted in Name_1 with NA from:,Aggregate
MId Western Hill,Nepal,Salyan,Nepal,NA,NA,Salyan,NA,NA,NA,NA,NA,1,,,
Eastern Mountain,Nepal,Sankhuwasabha,Nepal,NA,NA,Sankhuwasabha,NA,NA,NA,NA,NA,1,,,
Eastern Terai,Nepal,Saptari,Nepal,NA,NA,Saptari,NA,NA,NA,NA,NA,1,,,
Central Terai,Nepal,Sarlahi,Nepal,NA,NA,Sarlahi,NA,NA,NA,NA,NA,1,,,
Central Hill,Nepal,Sindhuli,Nepal,NA,NA,Sindhuli,NA,NA,NA,NA,NA,1,,,
Central Mountain,Nepal,Sindhupalchok,Nepal,NA,NA,Sindhupalchok,NA,NA,NA,NA,NA,1,,,
Eastern Terai,Nepal,Siraha,Nepal,NA,NA,Siraha,NA,NA,NA,NA,NA,1,,,
Eastern Mountain,Nepal,Solukhumbu,Nepal,NA,NA,Solukhumbu,NA,NA,NA,NA,NA,1,,,
Eastern Terai,Nepal,Sunsari,Nepal,NA,NA,Sunsari,NA,NA,NA,NA,NA,1,,,
MId Western Hill,Nepal,Surkhet,Nepal,NA,NA,Surkhet,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Syangja,Nepal,NA,NA,Syangja,NA,NA,NA,NA,NA,1,,,
Western  Hill,Nepal,Tanahu,Nepal,NA,NA,Tanahu,NA,NA,NA,NA,NA,1,,,
Eastern Mountain,Nepal,Taplejung,Nepal,NA,NA,Taplejung,NA,NA,NA,NA,NA,1,,,
Eastern Hill,Nepal,Terhathum,Nepal,NA,NA,Terhathum,NA,NA,NA,NA,NA,1,,,
Eastern Hill,Nepal,Udayapur,Nepal,NA,NA,Udayapur,NA,NA,NA,NA,NA,1,,,
Abia,Nigeria,Abia,Nigeria,Abia,NA,NA,NA,NA,NA,NA,NA,1,,,
Adamawa,Nigeria,Adamawa,Nigeria,Adamawa,NA,NA,NA,NA,NA,NA,NA,1,,,
Akwa Ibom,Nigeria,Akwa Ibom,Nigeria,Akwa Ibom,NA,NA,NA,NA,NA,NA,NA,1,,,
Anambra,Nigeria,Anambra,Nigeria,Anambra,NA,NA,NA,NA,NA,NA,NA,1,,,
Bauchi,Nigeria,Bauchi,Nigeria,Bauchi,NA,NA,NA,NA,NA,NA,NA,1,,,
Bayelsa,Nigeria,Bayelsa,Nigeria,Bayelsa,NA,NA,NA,NA,NA,NA,NA,1,,,
Benue,Nigeria,Benue,Nigeria,Benue,NA,NA,NA,NA,NA,NA,NA,1,,,
Borno,Nigeria,Borno,Nigeria,Borno,NA,NA,NA,NA,NA,NA,NA,1,,,
Cross River,Nigeria,Cross River,Nigeria,Cross River,NA,NA,NA,NA,NA,NA,NA,1,,,
Delta,Nigeria,Delta,Nigeria,Delta,NA,NA,NA,NA,NA,NA,NA,1,,,
Ebonyi,Nigeria,Ebonyi,Nigeria,Ebonyi,NA,NA,NA,NA,NA,NA,NA,1,,,
Edo,Nigeria,Edo,Nigeria,Edo,NA,NA,NA,NA,NA,NA,NA,1,,,
Ekiti,Nigeria,Ekiti,Nigeria,Ekiti,NA,NA,NA,NA,NA,NA,NA,1,,,
Enugu,Nigeria,Enugu,Nigeria,Enugu,NA,NA,NA,NA,NA,NA,NA,1,,,
FCT Abuja,Nigeria,Fct Abuja,Nigeria,NA,NA,NA,NA,Federal Capital Territory,NA,NA,NA,1,1,Kaduna,
Gombe,Nigeria,Gombe,Nigeria,Gombe,NA,NA,NA,NA,NA,NA,NA,1,,,
Imo,Nigeria,Imo,Nigeria,Imo,NA,NA,NA,NA,NA,NA,NA,1,,,
Jigawa,Nigeria,Jigawa,Nigeria,Jigawa,NA,NA,NA,NA,NA,NA,NA,1,,,
Kaduna,Nigeria,Kaduna,Nigeria,Kaduna,NA,NA,NA,NA,NA,NA,NA,1,,,
Kano,Nigeria,Kano,Nigeria,Kano,NA,NA,NA,NA,NA,NA,NA,1,,,
Katsina,Nigeria,Katsina,Nigeria,Katsina,NA,NA,NA,NA,NA,NA,NA,1,,,
Kebbi,Nigeria,Kebbi,Nigeria,Kebbi,NA,NA,NA,NA,NA,NA,NA,1,,,
Kogi,Nigeria,Kogi,Nigeria,Kogi,NA,NA,NA,NA,NA,NA,NA,1,,,
Kwara,Nigeria,Kwara,Nigeria,Kwara,NA,NA,NA,NA,NA,NA,NA,1,,,
Lagos,Nigeria,Lagos,Nigeria,Lagos,NA,NA,NA,NA,NA,NA,NA,1,,,
Nasarawa,Nigeria,Nasarawa,Nigeria,NA,NA,NA,NA,Nassarawa,NA,NA,NA,1,,,
Niger,Nigeria,Niger,Nigeria,Niger,NA,NA,NA,NA,NA,NA,NA,1,,,
Ogun,Nigeria,Ogun,Nigeria,Ogun,NA,NA,NA,NA,NA,NA,NA,1,,,
Ondo,Nigeria,Ondo,Nigeria,Ondo,NA,NA,NA,NA,NA,NA,NA,1,,,
Osun,Nigeria,Osun,Nigeria,Osun,NA,NA,NA,NA,NA,NA,NA,1,,,
Oyo,Nigeria,Oyo,Nigeria,Oyo,NA,NA,NA,NA,NA,NA,NA,1,,,
Plateau,Nigeria,Plateau,Nigeria,Plateau,NA,NA,NA,NA,NA,NA,NA,1,,,
Rivers,Nigeria,Rivers,Nigeria,Rivers,NA,NA,NA,NA,NA,NA,NA,1,,,
Sokoto,Nigeria,Sokoto,Nigeria,Sokoto,NA,NA,NA,NA,NA,NA,NA,1,,,
Taraba,Nigeria,Taraba,Nigeria,Taraba,NA,NA,NA,NA,NA,NA,NA,1,,,
Yobe,Nigeria,Yobe,Nigeria,Yobe,NA,NA,NA,NA,NA,NA,NA,1,,,
Zamfara,Nigeria,Zamfara,Nigeria,Zamfara,NA,NA,NA,NA,NA,NA,NA,1,,,
Alto Paraguay,Paraguay,Alto Paraguay,Paraguay,Alto Paraguay,NA,NA,NA,NA,NA,NA,NA,1,,,
Central,Paraguay,Central,Paraguay,Central,NA,NA,NA,NA,NA,NA,NA,1,,,
Resto,Paraguay,Resto,Paraguay,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,Presidente Hayes,"Amambay, Caazap·, Canindey˙, ConcepciÛn, Cordillera, Guaira, Misiones, —eembuc˙, ParaguarÌ y Presidente Hayes"
San Pedro,Paraguay,San Pedro,Paraguay,San Pedro,NA,NA,NA,NA,NA,NA,NA,1,,,
BOUENZA,Republic of Congo,Bouenza,Republic of Congo,Bouenza,NA,NA,NA,NA,NA,NA,NA,1,,,
BRAZZAVILLE,Republic of Congo,Brazzaville,Republic of Congo,Brazzaville,NA,NA,NA,NA,NA,NA,NA,1,,,
CUVETTE,Republic of Congo,Cuvette,Republic of Congo,Cuvette,NA,NA,NA,NA,NA,NA,NA,1,,,
CUVETTE OUEST,Republic of Congo,Cuvette Ouest,Republic of Congo,NA,NA,NA,NA,Cuvette-Ouest,NA,NA,NA,1,1,,
KOUILOU,Republic of Congo,Kouilou,Republic of Congo,Kouilou,NA,NA,NA,NA,NA,NA,NA,1,,,
LEKOUMOU,Republic of Congo,Lekoumou,Republic of Congo,NA,NA,NA,NA,L√©koumou,NA,NA,NA,1,1,,
LIKOUALA,Republic of Congo,Likouala,Republic of Congo,Likouala,NA,NA,NA,NA,NA,NA,NA,1,,,
NIARI,Republic of Congo,Niari,Republic of Congo,Niari,NA,NA,NA,NA,NA,NA,NA,1,,,
PLATEAUX,Republic of Congo,Plateaux,Republic of Congo,Plateaux,NA,NA,NA,NA,NA,NA,NA,1,,,
POINTE NOIRE,Republic of Congo,Pointe Noire,Republic of Congo,NA,NA,NA,NA,Pointe Noire,NA,NA,NA,1,1,,
POOL,Republic of Congo,Pool,Republic of Congo,Pool,NA,NA,NA,NA,NA,NA,NA,1,,,
SANGHA,Republic of Congo,Sangha,Republic of Congo,Sangha,NA,NA,NA,NA,NA,NA,NA,1,,,
BROKOPONDO,Suriname,Brokopondo,Suriname,Brokopondo,NA,NA,NA,NA,NA,NA,NA,1,,,
COMMEWIJNE,Suriname,Commewijne,Suriname,Commewijne,NA,NA,NA,NA,NA,NA,NA,1,,,
CORONIE,Suriname,Coronie,Suriname,Coronie,NA,NA,NA,NA,NA,NA,NA,1,,,
MAROWIJNE,Suriname,Marowijne,Suriname,Marowijne,NA,NA,NA,NA,NA,NA,NA,1,,,
NICKERIE,Suriname,Nickerie,Suriname,Nickerie,NA,NA,NA,NA,NA,NA,NA,1,,,
PARA,Suriname,Para,Suriname,Para,NA,NA,NA,NA,NA,NA,NA,1,,,
PARAMARIBO,Suriname,Paramaribo,Suriname,Paramaribo,NA,NA,NA,NA,NA,NA,NA,1,,,
SARAMACCA,Suriname,Saramacca,Suriname,Saramacca,NA,NA,NA,NA,NA,NA,NA,1,,,
SIPALIWINI,Suriname,Sipaliwini,Suriname,Sipaliwini,NA,NA,NA,NA,NA,NA,NA,1,,,
WANICA,Suriname,Wanica,Suriname,Wanica,NA,NA,NA,NA,NA,NA,NA,1,,,
Centrale,Togo,Centrale,Togo,NA,NA,NA,NA,Centre,NA,NA,NA,1,1,,
Golfe Urbain,Togo,Golfe Urbain,Togo,NA,NA,NA,NA,Golfe (incl Lom√©),NA,NA,NA,1,1,Plateaux,
Kara,Togo,Kara,Togo,Kara,NA,NA,NA,NA,NA,NA,NA,1,,,
Maritime,Togo,Maritime,Togo,Maritime,NA,NA,NA,NA,NA,NA,NA,1,,,
Plateaux,Togo,Plateaux,Togo,Plateaux,NA,NA,NA,NA,NA,NA,NA,1,,,
Savanes,Togo,Savanes,Togo,Savanes,NA,NA,NA,NA,NA,NA,NA,1,,,
 EUA,Tonga,'Eua,Tonga,'Eua,NA,NA,NA,NA,NA,NA,NA,1,,,
HA APAI,Tonga,Ha'apai,Tonga,Ha'apai,NA,NA,NA,NA,NA,NA,NA,1,,,
ONGO NIUA,Tonga,Ongo Niua,Tonga,NA,NA,NA,NA,Niuas,NA,NA,NA,1,1,Tongatapu,
TONGATAPU,Tonga,Tongatapu,Tonga,Tongatapu,NA,NA,NA,NA,NA,NA,NA,1,,,
VAVA U,Tonga,Vava'u,Tonga,Vava'u,NA,NA,NA,NA,NA,NA,NA,1,,,
CENTRE EST,Tunisia,Centre Est,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,Bizerte,"Aggregate: Sousse, Monastir, Mahdia, Sfax"
CENTRE OUEST,Tunisia,Centre Ouest,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,Bizerte,"Aggregate:Kairouan, KassÈrine, Sid Bou Zid"
DISTRICT TUNIS,Tunisia,District Tunis,Tunisia,NA,NA,NA,NA,Tunis,NA,NA,NA,1,1,Kairouan,
NORD EST,Tunisia,Nord Est,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,Monastir,"Aggregate: Bizerte, Manubah, Nabeul, Zaghouan, Ariana, Ben Arous (Tunis Sud)"
NORD OUEST,Tunisia,Nord Ouest,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,Sousse,"Aggregate: BÈja, Jendouba, Le Kef, Siliana"
SUD EST,Tunisia,Sud Est,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,Sousse,"Aggregate: GabÈs, MÈdenine, Tataouine"
SUD OUEST,Tunisia,Sud Ouest,Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,Sousse,"Gafsa, Tozeur, Kebili"
Bulawayo,Zimbabwe,Bulawayo,Zimbabwe,Bulawayo,NA,NA,NA,NA,NA,NA,NA,1,,,
Harare,Zimbabwe,Harare,Zimbabwe,Harare,NA,NA,NA,NA,NA,NA,NA,1,,,
Manicaland,Zimbabwe,Manicaland,Zimbabwe,Manicaland,NA,NA,NA,NA,NA,NA,NA,1,,,
Mashonaland Central,Zimbabwe,Mashonaland Central,Zimbabwe,Mashonaland Central,NA,NA,NA,NA,NA,NA,NA,1,,,
Mashonaland East,Zimbabwe,Mashonaland East,Zimbabwe,Mashonaland East,NA,NA,NA,NA,NA,NA,NA,1,,,
Mashonaland West,Zimbabwe,Mashonaland West,Zimbabwe,Mashonaland West,NA,NA,NA,NA,NA,NA,NA,1,,,
Masvingo,Zimbabwe,Masvingo,Zimbabwe,Masvingo,NA,NA,NA,NA,NA,NA,NA,1,,,
Matabeleland North,Zimbabwe,Matabeleland North,Zimbabwe,Matabeleland North,NA,NA,NA,NA,NA,NA,NA,1,,,
Matabeleland South,Zimbabwe,Matabeleland South,Zimbabwe,Matabeleland South,NA,NA,NA,NA,NA,NA,NA,1,,,
Midlands,Zimbabwe,Midlands,Zimbabwe,Midlands,NA,NA,NA,NA,NA,NA,NA,1,,,
